PSR_ID,PSR_Ref,PSR_Amount,PSR_Invoice,PSR_Counterparty,PSR_Date,CAMT_NtryId,CAMT_EndToEndId,CAMT_Amount,CAMT_Counterparty,CAMT_Remittance,CAMT_Date,Scenario,Expected_Match_Type
TX-2027-0020,PMT-REF-020,1200,INV-2027-0020,Standard Corp 20,2026-06-10,NTRY-020,TX-2027-0020,1200,Standard Corp 20,PMT-REF-020 INV-2027-0020,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0021,PMT-REF-021,1210,INV-2027-0021,Standard Corp 21,2026-06-10,NTRY-021,TX-2027-0021,1210,Standard Corp 21,PMT-REF-021 INV-2027-0021,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0022,PMT-REF-022,1220,INV-2027-0022,Standard Corp 22,2026-06-10,NTRY-022,TX-2027-0022,1220,Standard Corp 22,PMT-REF-022 INV-2027-0022,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0023,PMT-REF-023,1230,INV-2027-0023,Standard Corp 23,2026-06-10,NTRY-023,TX-2027-0023,1230,Standard Corp 23,PMT-REF-023 INV-2027-0023,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0024,PMT-REF-024,1240,INV-2027-0024,Standard Corp 24,2026-06-10,NTRY-024,TX-2027-0024,1240,Standard Corp 24,PMT-REF-024 INV-2027-0024,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0025,PMT-REF-025,1250,INV-2027-0025,Standard Corp 25,2026-06-10,NTRY-025,TX-2027-0025,1250,Standard Corp 25,PMT-REF-025 INV-2027-0025,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0026,PMT-REF-026,1260,INV-2027-0026,Standard Corp 26,2026-06-10,NTRY-026,TX-2027-0026,1260,Standard Corp 26,PMT-REF-026 INV-2027-0026,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0027,PMT-REF-027,1270,INV-2027-0027,Standard Corp 27,2026-06-10,NTRY-027,TX-2027-0027,1270,Standard Corp 27,PMT-REF-027 INV-2027-0027,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0028,PMT-REF-028,1280,INV-2027-0028,Standard Corp 28,2026-06-10,NTRY-028,TX-2027-0028,1280,Standard Corp 28,PMT-REF-028 INV-2027-0028,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0029,PMT-REF-029,1290,INV-2027-0029,Standard Corp 29,2026-06-10,NTRY-029,TX-2027-0029,1290,Standard Corp 29,PMT-REF-029 INV-2027-0029,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0030,PMT-REF-030,1300,INV-2027-0030,Standard Corp 30,2026-06-10,NTRY-030,TX-2027-0030,1300,Standard Corp 30,PMT-REF-030 INV-2027-0030,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0031,PMT-REF-031,1310,INV-2027-0031,Standard Corp 31,2026-06-10,NTRY-031,TX-2027-0031,1310,Standard Corp 31,PMT-REF-031 INV-2027-0031,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0032,PMT-REF-032,1320,INV-2027-0032,Standard Corp 32,2026-06-10,NTRY-032,TX-2027-0032,1320,Standard Corp 32,PMT-REF-032 INV-2027-0032,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0033,PMT-REF-033,1330,INV-2027-0033,Standard Corp 33,2026-06-10,NTRY-033,TX-2027-0033,1330,Standard Corp 33,PMT-REF-033 INV-2027-0033,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0034,PMT-REF-034,1340,INV-2027-0034,Standard Corp 34,2026-06-10,NTRY-034,TX-2027-0034,1340,Standard Corp 34,PMT-REF-034 INV-2027-0034,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0035,PMT-REF-035,1350,INV-2027-0035,Standard Corp 35,2026-06-10,NTRY-035,TX-2027-0035,1350,Standard Corp 35,PMT-REF-035 INV-2027-0035,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0036,PMT-REF-036,1360,INV-2027-0036,Standard Corp 36,2026-06-10,NTRY-036,TX-2027-0036,1360,Standard Corp 36,PMT-REF-036 INV-2027-0036,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0037,PMT-REF-037,1370,INV-2027-0037,Standard Corp 37,2026-06-10,NTRY-037,TX-2027-0037,1370,Standard Corp 37,PMT-REF-037 INV-2027-0037,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0038,PMT-REF-038,1380,INV-2027-0038,Standard Corp 38,2026-06-10,NTRY-038,TX-2027-0038,1380,Standard Corp 38,PMT-REF-038 INV-2027-0038,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0039,PMT-REF-039,1390,INV-2027-0039,Standard Corp 39,2026-06-10,NTRY-039,TX-2027-0039,1390,Standard Corp 39,PMT-REF-039 INV-2027-0039,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0040,PMT-REF-040,1400,INV-2027-0040,Standard Corp 40,2026-06-10,NTRY-040,TX-2027-0040,1400,Standard Corp 40,PMT-REF-040 INV-2027-0040,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0041,PMT-REF-041,1410,INV-2027-0041,Standard Corp 41,2026-06-10,NTRY-041,TX-2027-0041,1410,Standard Corp 41,PMT-REF-041 INV-2027-0041,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0042,PMT-REF-042,1420,INV-2027-0042,Standard Corp 42,2026-06-10,NTRY-042,TX-2027-0042,1420,Standard Corp 42,PMT-REF-042 INV-2027-0042,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0043,PMT-REF-043,1430,INV-2027-0043,Standard Corp 43,2026-06-10,NTRY-043,TX-2027-0043,1430,Standard Corp 43,PMT-REF-043 INV-2027-0043,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0044,PMT-REF-044,1440,INV-2027-0044,Standard Corp 44,2026-06-10,NTRY-044,TX-2027-0044,1440,Standard Corp 44,PMT-REF-044 INV-2027-0044,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0045,PMT-REF-045,1450,INV-2027-0045,Standard Corp 45,2026-06-10,NTRY-045,TX-2027-0045,1450,Standard Corp 45,PMT-REF-045 INV-2027-0045,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0046,PMT-REF-046,1460,INV-2027-0046,Standard Corp 46,2026-06-10,NTRY-046,TX-2027-0046,1460,Standard Corp 46,PMT-REF-046 INV-2027-0046,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0047,PMT-REF-047,1470,INV-2027-0047,Standard Corp 47,2026-06-10,NTRY-047,TX-2027-0047,1470,Standard Corp 47,PMT-REF-047 INV-2027-0047,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0048,PMT-REF-048,1480,INV-2027-0048,Standard Corp 48,2026-06-10,NTRY-048,TX-2027-0048,1480,Standard Corp 48,PMT-REF-048 INV-2027-0048,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0049,PMT-REF-049,1490,INV-2027-0049,Standard Corp 49,2026-06-10,NTRY-049,TX-2027-0049,1490,Standard Corp 49,PMT-REF-049 INV-2027-0049,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0050,PMT-REF-050,1500,INV-2027-0050,Standard Corp 50,2026-06-10,NTRY-050,TX-2027-0050,1500,Standard Corp 50,PMT-REF-050 INV-2027-0050,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0051,PMT-REF-051,1510,INV-2027-0051,Standard Corp 51,2026-06-10,NTRY-051,TX-2027-0051,1510,Standard Corp 51,PMT-REF-051 INV-2027-0051,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0052,PMT-REF-052,1520,INV-2027-0052,Standard Corp 52,2026-06-10,NTRY-052,TX-2027-0052,1520,Standard Corp 52,PMT-REF-052 INV-2027-0052,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0053,PMT-REF-053,1530,INV-2027-0053,Standard Corp 53,2026-06-10,NTRY-053,TX-2027-0053,1530,Standard Corp 53,PMT-REF-053 INV-2027-0053,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0054,PMT-REF-054,1540,INV-2027-0054,Standard Corp 54,2026-06-10,NTRY-054,TX-2027-0054,1540,Standard Corp 54,PMT-REF-054 INV-2027-0054,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0055,PMT-REF-055,1550,INV-2027-0055,Standard Corp 55,2026-06-10,NTRY-055,TX-2027-0055,1550,Standard Corp 55,PMT-REF-055 INV-2027-0055,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0056,PMT-REF-056,1560,INV-2027-0056,Standard Corp 56,2026-06-10,NTRY-056,TX-2027-0056,1560,Standard Corp 56,PMT-REF-056 INV-2027-0056,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0057,PMT-REF-057,1570,INV-2027-0057,Standard Corp 57,2026-06-10,NTRY-057,TX-2027-0057,1570,Standard Corp 57,PMT-REF-057 INV-2027-0057,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0058,PMT-REF-058,1580,INV-2027-0058,Standard Corp 58,2026-06-10,NTRY-058,TX-2027-0058,1580,Standard Corp 58,PMT-REF-058 INV-2027-0058,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0059,PMT-REF-059,1590,INV-2027-0059,Standard Corp 59,2026-06-10,NTRY-059,TX-2027-0059,1590,Standard Corp 59,PMT-REF-059 INV-2027-0059,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0060,PMT-REF-060,1600,INV-2027-0060,Standard Corp 60,2026-06-10,NTRY-060,TX-2027-0060,1600,Standard Corp 60,PMT-REF-060 INV-2027-0060,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0061,PMT-REF-061,1610,INV-2027-0061,Standard Corp 61,2026-06-10,NTRY-061,TX-2027-0061,1610,Standard Corp 61,PMT-REF-061 INV-2027-0061,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0062,PMT-REF-062,1620,INV-2027-0062,Standard Corp 62,2026-06-10,NTRY-062,TX-2027-0062,1620,Standard Corp 62,PMT-REF-062 INV-2027-0062,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0063,PMT-REF-063,1630,INV-2027-0063,Standard Corp 63,2026-06-10,NTRY-063,TX-2027-0063,1630,Standard Corp 63,PMT-REF-063 INV-2027-0063,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0064,PMT-REF-064,1640,INV-2027-0064,Standard Corp 64,2026-06-10,NTRY-064,TX-2027-0064,1640,Standard Corp 64,PMT-REF-064 INV-2027-0064,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0065,PMT-REF-065,1650,INV-2027-0065,Standard Corp 65,2026-06-10,NTRY-065,TX-2027-0065,1650,Standard Corp 65,PMT-REF-065 INV-2027-0065,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0066,PMT-REF-066,1660,INV-2027-0066,Standard Corp 66,2026-06-10,NTRY-066,TX-2027-0066,1660,Standard Corp 66,PMT-REF-066 INV-2027-0066,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0067,PMT-REF-067,1670,INV-2027-0067,Standard Corp 67,2026-06-10,NTRY-067,TX-2027-0067,1670,Standard Corp 67,PMT-REF-067 INV-2027-0067,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0068,PMT-REF-068,1680,INV-2027-0068,Standard Corp 68,2026-06-10,NTRY-068,TX-2027-0068,1680,Standard Corp 68,PMT-REF-068 INV-2027-0068,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0069,PMT-REF-069,1690,INV-2027-0069,Standard Corp 69,2026-06-10,NTRY-069,TX-2027-0069,1690,Standard Corp 69,PMT-REF-069 INV-2027-0069,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0070,PMT-REF-070,1700,INV-2027-0070,Standard Corp 70,2026-06-10,NTRY-070,TX-2027-0070,1700,Standard Corp 70,PMT-REF-070 INV-2027-0070,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0071,PMT-REF-071,1710,INV-2027-0071,Standard Corp 71,2026-06-10,NTRY-071,TX-2027-0071,1710,Standard Corp 71,PMT-REF-071 INV-2027-0071,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0072,PMT-REF-072,1720,INV-2027-0072,Standard Corp 72,2026-06-10,NTRY-072,TX-2027-0072,1720,Standard Corp 72,PMT-REF-072 INV-2027-0072,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0073,PMT-REF-073,1730,INV-2027-0073,Standard Corp 73,2026-06-10,NTRY-073,TX-2027-0073,1730,Standard Corp 73,PMT-REF-073 INV-2027-0073,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0074,PMT-REF-074,1740,INV-2027-0074,Standard Corp 74,2026-06-10,NTRY-074,TX-2027-0074,1740,Standard Corp 74,PMT-REF-074 INV-2027-0074,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0075,PMT-REF-075,1750,INV-2027-0075,Standard Corp 75,2026-06-10,NTRY-075,TX-2027-0075,1750,Standard Corp 75,PMT-REF-075 INV-2027-0075,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0076,PMT-REF-076,1760,INV-2027-0076,Standard Corp 76,2026-06-10,NTRY-076,TX-2027-0076,1760,Standard Corp 76,PMT-REF-076 INV-2027-0076,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0077,PMT-REF-077,1770,INV-2027-0077,Standard Corp 77,2026-06-10,NTRY-077,TX-2027-0077,1770,Standard Corp 77,PMT-REF-077 INV-2027-0077,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0078,PMT-REF-078,1780,INV-2027-0078,Standard Corp 78,2026-06-10,NTRY-078,TX-2027-0078,1780,Standard Corp 78,PMT-REF-078 INV-2027-0078,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0079,PMT-REF-079,1790,INV-2027-0079,Standard Corp 79,2026-06-10,NTRY-079,TX-2027-0079,1790,Standard Corp 79,PMT-REF-079 INV-2027-0079,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0080,PMT-REF-080,1800,INV-2027-0080,Standard Corp 80,2026-06-10,NTRY-080,TX-2027-0080,1800,Standard Corp 80,PMT-REF-080 INV-2027-0080,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0081,PMT-FZ-081,3215,INV-FZ-0081,Tech Solutions 81,2026-06-10,NTRY-FZ-081,ETE-FZ-0081,3215,Solutions Tech 81,Payment for invoice 0081 from Solutions Tech 81,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0082,PMT-FZ-082,3230,INV-FZ-0082,Acme Supply 82,2026-06-10,NTRY-FZ-082,ETE-FZ-0082,3230,Acme Supply 82 Ltd,Payment for invoice 0082 from Acme Supply 82 Ltd,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0083,PMT-FZ-083,3245,INV-FZ-0083,Tech Solutions 83,2026-06-10,NTRY-FZ-083,ETE-FZ-0083,3245,Solutions Tech 83,Payment for invoice 0083 from Solutions Tech 83,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0084,PMT-FZ-084,3260,INV-FZ-0084,Acme Supply 84,2026-06-10,NTRY-FZ-084,ETE-FZ-0084,3260,Acme Supply 84 LLC,Payment for invoice 0084 from Acme Supply 84 LLC,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0085,PMT-FZ-085,3275,INV-FZ-0085,Tech Solutions 85,2026-06-10,NTRY-FZ-085,ETE-FZ-0085,3275,Solutions Tech 85,Payment for invoice 0085 from Solutions Tech 85,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0086,PMT-FZ-086,3290,INV-FZ-0086,Acme Supply 86,2026-06-10,NTRY-FZ-086,ETE-FZ-0086,3290,Acme Supply 86 Plc,Payment for invoice 0086 from Acme Supply 86 Plc,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0087,PMT-FZ-087,3305,INV-FZ-0087,Tech Solutions 87,2026-06-10,NTRY-FZ-087,ETE-FZ-0087,3305,Solutions Tech 87,Payment for invoice 0087 from Solutions Tech 87,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0088,PMT-FZ-088,3320,INV-FZ-0088,Acme Supply 88,2026-06-10,NTRY-FZ-088,ETE-FZ-0088,3320,Acme Supply 88 Plc,Payment for invoice 0088 from Acme Supply 88 Plc,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0089,PMT-FZ-089,3335,INV-FZ-0089,Tech Solutions 89,2026-06-10,NTRY-FZ-089,ETE-FZ-0089,3335,Solutions Tech 89,Payment for invoice 0089 from Solutions Tech 89,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0090,PMT-FZ-090,3350,INV-FZ-0090,Acme Supply 90,2026-06-10,NTRY-FZ-090,ETE-FZ-0090,3350,Acme Supply 90 Ltd,Payment for invoice 0090 from Acme Supply 90 Ltd,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0091,PMT-FZ-091,3365,INV-FZ-0091,Tech Solutions 91,2026-06-10,NTRY-FZ-091,ETE-FZ-0091,3365,Solutions Tech 91,Payment for invoice 0091 from Solutions Tech 91,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0092,PMT-FZ-092,3380,INV-FZ-0092,Acme Supply 92,2026-06-10,NTRY-FZ-092,ETE-FZ-0092,3380,Acme Supply 92 LLC,Payment for invoice 0092 from Acme Supply 92 LLC,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0093,PMT-FZ-093,3395,INV-FZ-0093,Tech Solutions 93,2026-06-10,NTRY-FZ-093,ETE-FZ-0093,3395,Solutions Tech 93,Payment for invoice 0093 from Solutions Tech 93,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0094,PMT-FZ-094,3410,INV-FZ-0094,Acme Supply 94,2026-06-10,NTRY-FZ-094,ETE-FZ-0094,3410,Acme Supply 94 Ltd,Payment for invoice 0094 from Acme Supply 94 Ltd,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0095,PMT-FZ-095,3425,INV-FZ-0095,Tech Solutions 95,2026-06-10,NTRY-FZ-095,ETE-FZ-0095,3425,Solutions Tech 95,Payment for invoice 0095 from Solutions Tech 95,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0096,PMT-FZ-096,3440,INV-FZ-0096,Acme Supply 96,2026-06-10,NTRY-FZ-096,ETE-FZ-0096,3440,Acme Supply 96 Holdings,Payment for invoice 0096 from Acme Supply 96 Holdings,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0097,PMT-FZ-097,3455,INV-FZ-0097,Tech Solutions 97,2026-06-10,NTRY-FZ-097,ETE-FZ-0097,3455,Solutions Tech 97,Payment for invoice 0097 from Solutions Tech 97,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0098,PMT-FZ-098,3470,INV-FZ-0098,Acme Supply 98,2026-06-10,NTRY-FZ-098,ETE-FZ-0098,3470,Acme Supply 98 Ltd,Payment for invoice 0098 from Acme Supply 98 Ltd,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0099,PMT-FZ-099,3485,INV-FZ-0099,Tech Solutions 99,2026-06-10,NTRY-FZ-099,ETE-FZ-0099,3485,Solutions Tech 99,Payment for invoice 0099 from Solutions Tech 99,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0100,PMT-FZ-100,3500,INV-FZ-0100,Acme Supply 100,2026-06-10,NTRY-FZ-100,ETE-FZ-0100,3500,Acme Supply 100 Plc,Payment for invoice 0100 from Acme Supply 100 Plc,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0101,PMT-FZ-101,3515,INV-FZ-0101,Tech Solutions 101,2026-06-10,NTRY-FZ-101,ETE-FZ-0101,3515,Solutions Tech 101,Payment for invoice 0101 from Solutions Tech 101,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0102,PMT-FZ-102,3530,INV-FZ-0102,Acme Supply 102,2026-06-10,NTRY-FZ-102,ETE-FZ-0102,3530,Acme Supply 102 Inc,Payment for invoice 0102 from Acme Supply 102 Inc,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0103,PMT-FZ-103,3545,INV-FZ-0103,Tech Solutions 103,2026-06-10,NTRY-FZ-103,ETE-FZ-0103,3545,Solutions Tech 103,Payment for invoice 0103 from Solutions Tech 103,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0104,PMT-FZ-104,3560,INV-FZ-0104,Acme Supply 104,2026-06-10,NTRY-FZ-104,ETE-FZ-0104,3560,Acme Supply 104 Ltd,Payment for invoice 0104 from Acme Supply 104 Ltd,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0105,PMT-FZ-105,3575,INV-FZ-0105,Tech Solutions 105,2026-06-10,NTRY-FZ-105,ETE-FZ-0105,3575,Solutions Tech 105,Payment for invoice 0105 from Solutions Tech 105,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0106,PMT-FZ-106,3590,INV-FZ-0106,Acme Supply 106,2026-06-10,NTRY-FZ-106,ETE-FZ-0106,3590,Acme Supply 106 Plc,Payment for invoice 0106 from Acme Supply 106 Plc,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
TX-2027-0107,PMT-FZ-107,3605,INV-FZ-0107,Tech Solutions 107,2026-06-10,NTRY-FZ-107,ETE-FZ-0107,3605,Solutions Tech 107,Payment for invoice 0107 from Solutions Tech 107,2026-06-10,Partial Match - Entity suffix / word order,Suggested Match/Fuzzy
