PSR_ID,PSR_Ref,PSR_Amount,PSR_Invoice,PSR_Counterparty,PSR_Date,PSR_Currency,PSR_Direction,CAMT_NtryId,CAMT_EndToEndId,CAMT_Amount,CAMT_Counterparty,CAMT_Remittance,CAMT_Date,CAMT_ValueDate,CAMT_BookingDate,CAMT_Currency,CAMT_Direction,Scenario,Expected_Match_Type
PSR-000011,PMT-REF-000011,10018.29,INV-19116,Blue Ocean Trading,2025-05-05,EUR,CR,NTRY-000011,PMT-REF-000011,10018.29,Blue Ocean Trading,PMT-REF-000011 INV-19116,2025-05-05,2025-05-05,2025-05-05,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000012,PMT-REF-000012,49268.47,INV-40512,Pacific Imports,2025-07-27,EUR,CR,NTRY-000012,PMT-REF-000012,49268.47,Pacific Imports,PMT-REF-000012 INV-40512,2025-07-27,2025-07-27,2025-07-27,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000013,PMT-REF-000013,22943.81,INV-57819,Sunrise Financial,2025-07-22,EUR,CR,NTRY-000013,PMT-REF-000013,22943.81,Sunrise Financial,PMT-REF-000013 INV-57819,2025-07-22,2025-07-22,2025-07-22,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000014,PMT-REF-000014,10870.6,INV-44993,Global Logistics,2025-12-04,GBP,CR,NTRY-000014,PMT-REF-000014,10870.6,Global Logistics,PMT-REF-000014 INV-44993,2025-12-04,2025-12-04,2025-12-04,GBP,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000015,PMT-REF-000015,8971.36,INV-42087,Sunrise Financial,2025-09-13,EUR,CR,NTRY-000015,PMT-REF-000015,8971.36,Sunrise Financial,PMT-REF-000015 INV-42087,2025-09-13,2025-09-13,2025-09-13,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000016,PMT-REF-000016,13862.42,INV-93886,Vista Industries,2025-05-01,GBP,CR,NTRY-000016,PMT-REF-000016,13862.42,Vista Industries,PMT-REF-000016 INV-93886,2025-05-01,2025-05-01,2025-05-01,GBP,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000017,PMT-REF-000017,16552.0,INV-17331,Horizon Tech,2025-01-17,EUR,CR,NTRY-000017,PMT-REF-000017,16552.0,Horizon Tech,PMT-REF-000017 INV-17331,2025-01-17,2025-01-17,2025-01-17,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000018,PMT-REF-000018,20357.66,INV-18675,Delta Commerce,2025-11-11,GBP,CR,NTRY-000018,PMT-REF-000018,20357.66,Delta Commerce,PMT-REF-000018 INV-18675,2025-11-11,2025-11-11,2025-11-11,GBP,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000019,PMT-REF-000019,16076.56,INV-95909,Silver Stream Ltd,2025-08-07,GBP,CR,NTRY-000019,PMT-REF-000019,16076.56,Silver Stream Ltd,PMT-REF-000019 INV-95909,2025-08-07,2025-08-07,2025-08-07,GBP,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000020,PMT-REF-000020,23213.17,INV-44718,Northern Star Corp,2025-05-15,GBP,CR,NTRY-000020,PMT-REF-000020,23213.17,Northern Star Corp,PMT-REF-000020 INV-44718,2025-05-15,2025-05-15,2025-05-15,GBP,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000021,PMT-REF-000021,28287.72,INV-44438,Cascade Trading,2025-08-24,GBP,CR,NTRY-000021,PMT-REF-000021,28287.72,Cascade Trading,PMT-REF-000021 INV-44438,2025-08-24,2025-08-24,2025-08-24,GBP,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000022,PMT-REF-000022,20270.33,INV-38746,Northern Star Corp,2025-10-09,EUR,CR,NTRY-000022,PMT-REF-000022,20270.33,Northern Star Corp,PMT-REF-000022 INV-38746,2025-10-09,2025-10-09,2025-10-09,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000023,PMT-REF-000023,5000.02,INV-16175,Pacific Imports,2025-03-23,GBP,CR,NTRY-000023,PMT-REF-000023,5000.02,Pacific Imports,PMT-REF-000023 INV-16175,2025-03-23,2025-03-23,2025-03-23,GBP,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000024,PMT-REF-000024,8419.11,INV-99192,Pinnacle Group,2025-11-26,USD,CR,NTRY-000024,PMT-REF-000024,8419.11,Pinnacle Group,PMT-REF-000024 INV-99192,2025-11-26,2025-11-26,2025-11-26,USD,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000025,PMT-REF-000025,19545.98,INV-88104,Redwood Corp,2025-10-19,EUR,CR,NTRY-000025,PMT-REF-000025,19545.98,Redwood Corp,PMT-REF-000025 INV-88104,2025-10-19,2025-10-19,2025-10-19,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000026,PMT-REF-000026,48568.38,INV-11504,Pacific Imports,2025-10-23,EUR,CR,NTRY-000026,PMT-REF-000026,48568.38,Pacific Imports,PMT-REF-000026 INV-11504,2025-10-23,2025-10-23,2025-10-23,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000027,PMT-REF-000027,38545.64,INV-54587,Pacific Imports,2025-06-11,EUR,CR,NTRY-000027,PMT-REF-000027,38545.64,Pacific Imports,PMT-REF-000027 INV-54587,2025-06-11,2025-06-11,2025-06-11,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000028,PMT-REF-000028,8328.81,INV-10425,Sterling Partners,2025-10-05,USD,CR,NTRY-000028,PMT-REF-000028,8328.81,Sterling Partners,PMT-REF-000028 INV-10425,2025-10-05,2025-10-05,2025-10-05,USD,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000029,PMT-REF-000029,25630.24,INV-23947,Summit Industries,2025-12-20,GBP,CR,NTRY-000029,PMT-REF-000029,25630.24,Summit Industries,PMT-REF-000029 INV-23947,2025-12-20,2025-12-20,2025-12-20,GBP,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000030,PMT-REF-000030,30644.03,INV-30032,Coastal Ventures,2025-03-27,GBP,CR,NTRY-000030,PMT-REF-000030,30644.03,Coastal Ventures,PMT-REF-000030 INV-30032,2025-03-27,2025-03-27,2025-03-27,GBP,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000031,PMT-REF-000031,47698.24,INV-79514,Acme Supply,2025-11-27,EUR,CR,NTRY-000031,PMT-REF-000031,47698.24,Acme Supply,PMT-REF-000031 INV-79514,2025-11-27,2025-11-27,2025-11-27,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000032,PMT-REF-000032,24685.98,INV-24662,Coastal Ventures,2025-06-18,USD,CR,NTRY-000032,PMT-REF-000032,24685.98,Coastal Ventures,PMT-REF-000032 INV-24662,2025-06-18,2025-06-18,2025-06-18,USD,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000033,PMT-REF-000033,3367.3,INV-84364,Global Logistics,2025-02-16,GBP,CR,NTRY-000033,PMT-REF-000033,3367.3,Global Logistics,PMT-REF-000033 INV-84364,2025-02-16,2025-02-16,2025-02-16,GBP,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000034,PMT-REF-000034,24556.53,INV-19071,Vista Industries,2025-03-09,USD,CR,NTRY-000034,PMT-REF-000034,24556.53,Vista Industries,PMT-REF-000034 INV-19071,2025-03-09,2025-03-09,2025-03-09,USD,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000035,PMT-REF-000035,33157.67,INV-82063,Sunrise Financial,2025-05-24,GBP,CR,NTRY-000035,PMT-REF-000035,33157.67,Sunrise Financial,PMT-REF-000035 INV-82063,2025-05-24,2025-05-24,2025-05-24,GBP,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000036,PMT-REF-000036,43685.44,INV-65461,Delta Commerce,2025-10-25,GBP,CR,NTRY-000036,PMT-REF-000036,43685.44,Delta Commerce,PMT-REF-000036 INV-65461,2025-10-25,2025-10-25,2025-10-25,GBP,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000037,PMT-REF-000037,34648.45,INV-50857,Metro Supply Chain,2025-12-25,EUR,CR,NTRY-000037,PMT-REF-000037,34648.45,Metro Supply Chain,PMT-REF-000037 INV-50857,2025-12-25,2025-12-25,2025-12-25,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000038,PMT-REF-000038,22185.95,INV-77839,Redwood Corp,2025-03-06,USD,CR,NTRY-000038,PMT-REF-000038,22185.95,Redwood Corp,PMT-REF-000038 INV-77839,2025-03-06,2025-03-06,2025-03-06,USD,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000039,PMT-REF-000039,11622.52,INV-54313,Acme Supply,2025-11-22,GBP,CR,NTRY-000039,PMT-REF-000039,11622.52,Acme Supply,PMT-REF-000039 INV-54313,2025-11-22,2025-11-22,2025-11-22,GBP,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000040,PMT-REF-000040,11890.68,INV-38864,Acme Supply,2025-02-09,GBP,CR,NTRY-000040,PMT-REF-000040,11890.68,Acme Supply,PMT-REF-000040 INV-38864,2025-02-09,2025-02-09,2025-02-09,GBP,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000041,PMT-REF-000041,31739.6,INV-40007,Global Logistics,2025-01-17,EUR,CR,NTRY-000041,PMT-REF-000041,31739.6,Global Logistics,PMT-REF-000041 INV-40007,2025-01-17,2025-01-17,2025-01-17,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000042,PMT-REF-000042,4007.44,INV-41195,Sterling Partners,2025-09-25,USD,CR,NTRY-000042,PMT-REF-000042,4007.44,Sterling Partners,PMT-REF-000042 INV-41195,2025-09-25,2025-09-25,2025-09-25,USD,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000043,PMT-REF-000043,27192.08,INV-84847,Cascade Trading,2025-09-19,USD,CR,NTRY-000043,PMT-REF-000043,27192.08,Cascade Trading,PMT-REF-000043 INV-84847,2025-09-19,2025-09-19,2025-09-19,USD,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000044,PMT-REF-000044,39338.66,INV-63354,Delta Commerce,2025-02-21,USD,CR,NTRY-000044,PMT-REF-000044,39338.66,Delta Commerce,PMT-REF-000044 INV-63354,2025-02-21,2025-02-21,2025-02-21,USD,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000045,PMT-REF-000045,33119.65,INV-56438,Pinnacle Group,2025-08-15,EUR,CR,NTRY-000045,PMT-REF-000045,33119.65,Pinnacle Group,PMT-REF-000045 INV-56438,2025-08-15,2025-08-15,2025-08-15,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000046,PMT-REF-000046,43259.92,INV-17100,Pacific Imports,2025-02-04,EUR,CR,NTRY-000046,PMT-REF-000046,43259.92,Pacific Imports,PMT-REF-000046 INV-17100,2025-02-04,2025-02-04,2025-02-04,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000047,PMT-REF-000047,36546.57,INV-24322,Horizon Tech,2025-04-15,USD,CR,NTRY-000047,PMT-REF-000047,36546.57,Horizon Tech,PMT-REF-000047 INV-24322,2025-04-15,2025-04-15,2025-04-15,USD,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000048,PMT-REF-000048,27046.14,INV-28373,Pinnacle Group,2025-04-10,EUR,CR,NTRY-000048,PMT-REF-000048,27046.14,Pinnacle Group,PMT-REF-000048 INV-28373,2025-04-10,2025-04-10,2025-04-10,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000049,PMT-REF-000049,23400.09,INV-19880,Redwood Corp,2025-11-02,USD,CR,NTRY-000049,PMT-REF-000049,23400.09,Redwood Corp,PMT-REF-000049 INV-19880,2025-11-02,2025-11-02,2025-11-02,USD,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000050,PMT-REF-000050,3004.12,INV-80855,Acme Supply,2025-02-20,USD,CR,NTRY-000050,PMT-REF-000050,3004.12,Acme Supply,PMT-REF-000050 INV-80855,2025-02-20,2025-02-20,2025-02-20,USD,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000051,PMT-REF-000051,8732.4,INV-73653,Silver Stream Ltd,2025-04-26,EUR,CR,NTRY-000051,PMT-REF-000051,8732.4,Silver Stream Ltd,PMT-REF-000051 INV-73653,2025-04-26,2025-04-26,2025-04-26,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000052,PMT-REF-000052,45170.92,INV-31579,Metro Supply Chain,2025-01-02,EUR,CR,NTRY-000052,PMT-REF-000052,45170.92,Metro Supply Chain,PMT-REF-000052 INV-31579,2025-01-02,2025-01-02,2025-01-02,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000053,PMT-REF-000053,13627.55,INV-69638,Summit Industries,2025-08-21,GBP,CR,NTRY-000053,PMT-REF-000053,13627.55,Summit Industries,PMT-REF-000053 INV-69638,2025-08-21,2025-08-21,2025-08-21,GBP,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000054,PMT-REF-000054,47887.22,INV-82845,Silver Stream Ltd,2025-03-24,USD,CR,NTRY-000054,PMT-REF-000054,47887.22,Silver Stream Ltd,PMT-REF-000054 INV-82845,2025-03-24,2025-03-24,2025-03-24,USD,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000055,PMT-REF-000055,15187.04,INV-17665,Cascade Trading,2025-10-26,USD,CR,NTRY-000055,PMT-REF-000055,15187.04,Cascade Trading,PMT-REF-000055 INV-17665,2025-10-26,2025-10-26,2025-10-26,USD,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000056,PMT-REF-000056,37524.79,INV-17492,Blue Ocean Trading,2025-11-20,EUR,CR,NTRY-000056,PMT-REF-000056,37524.79,Blue Ocean Trading,PMT-REF-000056 INV-17492,2025-11-20,2025-11-20,2025-11-20,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000057,PMT-REF-000057,25391.09,INV-79615,Sunrise Financial,2025-02-02,GBP,CR,NTRY-000057,PMT-REF-000057,25391.09,Sunrise Financial,PMT-REF-000057 INV-79615,2025-02-02,2025-02-02,2025-02-02,GBP,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000058,PMT-REF-000058,4465.52,INV-34356,Global Logistics,2025-11-25,USD,CR,NTRY-000058,PMT-REF-000058,4465.52,Global Logistics,PMT-REF-000058 INV-34356,2025-11-25,2025-11-25,2025-11-25,USD,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000059,PMT-REF-000059,33923.02,INV-40828,Metro Supply Chain,2025-03-06,GBP,CR,NTRY-000059,PMT-REF-000059,33923.02,Metro Supply Chain,PMT-REF-000059 INV-40828,2025-03-06,2025-03-06,2025-03-06,GBP,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000060,PMT-REF-000060,12687.66,INV-87924,Blue Ocean Trading,2025-12-10,USD,CR,NTRY-000060,PMT-REF-000060,12687.66,Blue Ocean Trading,PMT-REF-000060 INV-87924,2025-12-10,2025-12-10,2025-12-10,USD,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000061,PMT-REF-000061,21251.63,INV-86503,Cascade Trading,2025-10-16,EUR,CR,NTRY-000061,PMT-REF-000061,21251.63,Cascade Trading,PMT-REF-000061 INV-86503,2025-10-16,2025-10-16,2025-10-16,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000062,PMT-REF-000062,46767.96,INV-36772,Apex Distribution,2025-05-11,EUR,CR,NTRY-000062,PMT-REF-000062,46767.96,Apex Distribution,PMT-REF-000062 INV-36772,2025-05-11,2025-05-11,2025-05-11,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000063,PMT-REF-000063,20091.4,INV-98039,Summit Industries,2025-09-11,EUR,CR,NTRY-000063,PMT-REF-000063,20091.4,Summit Industries,PMT-REF-000063 INV-98039,2025-09-11,2025-09-11,2025-09-11,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000064,PMT-REF-000064,46486.41,INV-19508,Acme Supply,2025-09-11,GBP,CR,NTRY-000064,PMT-REF-000064,46486.41,Acme Supply,PMT-REF-000064 INV-19508,2025-09-11,2025-09-11,2025-09-11,GBP,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000065,PMT-REF-000065,49923.49,INV-23104,Global Logistics,2025-10-24,USD,CR,NTRY-000065,PMT-REF-000065,49923.49,Global Logistics,PMT-REF-000065 INV-23104,2025-10-24,2025-10-24,2025-10-24,USD,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000066,PMT-REF-000066,25541.29,INV-27361,Coastal Ventures,2025-02-08,USD,CR,NTRY-000066,PMT-REF-000066,25541.29,Coastal Ventures,PMT-REF-000066 INV-27361,2025-02-08,2025-02-08,2025-02-08,USD,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000067,PMT-REF-000067,18791.59,INV-30676,Redwood Corp,2025-10-27,GBP,CR,NTRY-000067,PMT-REF-000067,18791.59,Redwood Corp,PMT-REF-000067 INV-30676,2025-10-27,2025-10-27,2025-10-27,GBP,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000068,PMT-REF-000068,15474.6,INV-95717,Quantum Solutions,2025-01-05,GBP,CR,NTRY-000068,PMT-REF-000068,15474.6,Quantum Solutions,PMT-REF-000068 INV-95717,2025-01-05,2025-01-05,2025-01-05,GBP,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000069,PMT-REF-000069,40946.65,INV-49240,Pacific Imports,2025-03-13,EUR,CR,NTRY-000069,PMT-REF-000069,40946.65,Pacific Imports,PMT-REF-000069 INV-49240,2025-03-13,2025-03-13,2025-03-13,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000070,PMT-REF-000070,6213.72,INV-24029,Vista Industries,2025-03-24,EUR,CR,NTRY-000070,PMT-REF-000070,6213.72,Vista Industries,PMT-REF-000070 INV-24029,2025-03-24,2025-03-24,2025-03-24,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000071,PMT-REF-000071,14446.94,INV-37607,Apex Distribution,2025-04-21,GBP,CR,NTRY-000071,PMT-REF-000071,14446.94,Apex Distribution,PMT-REF-000071 INV-37607,2025-04-21,2025-04-21,2025-04-21,GBP,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000072,PMT-REF-000072,31894.78,INV-44600,Quantum Solutions,2025-09-27,EUR,CR,NTRY-000072,PMT-REF-000072,31894.78,Quantum Solutions,PMT-REF-000072 INV-44600,2025-09-27,2025-09-27,2025-09-27,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000073,PMT-REF-000073,45314.16,INV-16658,Global Logistics,2025-12-17,EUR,CR,NTRY-000073,PMT-REF-000073,45314.16,Global Logistics,PMT-REF-000073 INV-16658,2025-12-17,2025-12-17,2025-12-17,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000074,PMT-REF-000074,41552.73,INV-15778,Acme Supply,2025-07-03,USD,CR,NTRY-000074,PMT-REF-000074,41552.73,Acme Supply,PMT-REF-000074 INV-15778,2025-07-03,2025-07-03,2025-07-03,USD,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000075,PMT-REF-000075,32037.11,INV-44335,Sunrise Financial,2025-09-03,GBP,CR,NTRY-000075,PMT-REF-000075,32037.11,Sunrise Financial,PMT-REF-000075 INV-44335,2025-09-03,2025-09-03,2025-09-03,GBP,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000076,PMT-REF-000076,35430.54,INV-83519,Acme Supply,2025-03-02,USD,CR,NTRY-000076,PMT-REF-000076,35430.54,Acme Supply,PMT-REF-000076 INV-83519,2025-03-02,2025-03-02,2025-03-02,USD,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000077,PMT-REF-000077,47280.02,INV-29536,Vista Industries,2025-01-19,EUR,CR,NTRY-000077,PMT-REF-000077,47280.02,Vista Industries,PMT-REF-000077 INV-29536,2025-01-19,2025-01-19,2025-01-19,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000078,PMT-REF-000078,29334.22,INV-29410,Pinnacle Group,2025-03-10,USD,CR,NTRY-000078,PMT-REF-000078,29334.22,Pinnacle Group,PMT-REF-000078 INV-29410,2025-03-10,2025-03-10,2025-03-10,USD,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000079,PMT-REF-000079,15758.79,INV-15229,Coastal Ventures,2025-04-24,GBP,CR,NTRY-000079,PMT-REF-000079,15758.79,Coastal Ventures,PMT-REF-000079 INV-15229,2025-04-24,2025-04-24,2025-04-24,GBP,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000080,PMT-REF-000080,12851.72,INV-23473,Coastal Ventures,2025-11-07,EUR,CR,NTRY-000080,PMT-REF-000080,12851.72,Coastal Ventures,PMT-REF-000080 INV-23473,2025-11-07,2025-11-07,2025-11-07,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000081,PMT-REF-000081,48704.93,INV-30257,Horizon Tech,2025-03-28,USD,CR,NTRY-000081,E2E-872343,48704.93,Horizon Tech LLC,Payment advice 125990 ref 3938,2025-03-28,2025-03-28,2025-03-28,USD,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000082,PMT-REF-000082,46262.12,INV-63964,Horizon Tech,2025-05-25,USD,CR,NTRY-000082,E2E-593554,46262.12,Horizon Tech Inc,Payment advice 501124 ref 1634,2025-05-25,2025-05-25,2025-05-25,USD,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000083,PMT-REF-000083,11510.47,INV-70332,Coastal Ventures,2025-06-17,USD,CR,NTRY-000083,E2E-517821,11510.47,Coastal Ventures Group,Payment advice 124813 ref 4164,2025-06-17,2025-06-17,2025-06-17,USD,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000084,PMT-REF-000084,16748.97,INV-19099,Sterling Partners,2025-07-12,GBP,CR,NTRY-000084,E2E-447235,16748.97,Sterling Partners SA,Payment advice 519093 ref 9785,2025-07-12,2025-07-12,2025-07-12,GBP,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000085,PMT-REF-000085,46992.24,INV-25118,Sterling Partners,2025-04-08,GBP,CR,NTRY-000085,E2E-725550,46992.24,Sterling Partners Partners,Payment advice 140115 ref 2776,2025-04-08,2025-04-08,2025-04-08,GBP,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000086,PMT-REF-000086,22010.91,INV-51114,Pinnacle Group,2025-12-03,GBP,CR,NTRY-000086,E2E-367095,22010.91,Pinnacle Group Inc,Payment advice 503906 ref 4114,2025-12-03,2025-12-03,2025-12-03,GBP,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000087,PMT-REF-000087,2697.13,INV-67154,Acme Supply,2025-10-15,GBP,CR,NTRY-000087,E2E-173372,2697.13,Acme Supply Group,Payment advice 481913 ref 8066,2025-10-15,2025-10-15,2025-10-15,GBP,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000088,PMT-REF-000088,47469.29,INV-53279,Nexus Partners,2025-06-21,GBP,CR,NTRY-000088,E2E-631756,47469.29,Nexus Partners Inc,Payment advice 854717 ref 5920,2025-06-21,2025-06-21,2025-06-21,GBP,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000089,PMT-REF-000089,15809.59,INV-63528,Apex Distribution,2025-08-11,GBP,CR,NTRY-000089,E2E-301158,15809.59,Apex Distribution Partners,Payment advice 681343 ref 3085,2025-08-11,2025-08-11,2025-08-11,GBP,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000090,PMT-REF-000090,21312.09,INV-59695,Sunrise Financial,2025-12-08,GBP,CR,NTRY-000090,E2E-974224,21312.09,Sunrise Financial Partners,Payment advice 525800 ref 9977,2025-12-08,2025-12-08,2025-12-08,GBP,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000091,PMT-REF-000091,520.09,INV-47606,Delta Commerce,2025-08-25,GBP,CR,NTRY-000091,E2E-587575,520.09,Delta Commerce GmbH,Payment advice 786508 ref 6279,2025-08-25,2025-08-25,2025-08-25,GBP,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000092,PMT-REF-000092,22368.41,INV-98555,Delta Commerce,2025-10-10,EUR,CR,NTRY-000092,E2E-397571,22368.41,Delta Commerce Corp,Payment advice 790855 ref 2389,2025-10-10,2025-10-10,2025-10-10,EUR,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000093,PMT-REF-000093,26014.87,INV-92960,Nexus Partners,2025-07-04,USD,CR,NTRY-000093,E2E-335552,26014.87,Nexus Partners Group,Payment advice 805477 ref 6085,2025-07-04,2025-07-04,2025-07-04,USD,CR,Fuzzy Counterparty,FUZZY_P4
