Match_Key,PSR_ID,CAMT_ID,Reference,Invoice,Counterparty,Internal_Amount,Bank_Amount,Variance,Currency,Value_Date,Booking_Date,Reconciliation_Status,Reason_Code,Match_Type,Match_Confidence,Aging_Days,Aging_Bucket,Rule_Applied,Exception_Flag
NTRY-11,TX-2026-0011,TX-2026-0011,PMT-REF-20011,INV-2026-8011,Party_11,1011,1011.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,90,0,0-2 Days,RULE_ID_MATCH,N
NTRY-12,TX-2026-0012,TX-2026-0012,PMT-REF-20012,INV-2026-8012,Party_12,1012,1012.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,90,3,3-5 Days,RULE_ID_MATCH,N
NTRY-13,TX-2026-0013,TX-2026-0013,PMT-REF-20013,INV-2026-8013,Party_13,1013,1013.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,96,10,6+ Days,RULE_ID_MATCH,N
NTRY-14,TX-2026-0014,,PMT-REF-20014,INV-2026-8014,Party_14,1014,,1014,EUR,2026-06-07,2026-06-07,Uncleared / In-Transit Payment,MISSING_IN_BANK,NO_MATCH,48,10,6+ Days,RULE_AMT_REF,Y
NTRY-15,TX-2026-0015,,PMT-REF-20015,INV-2026-8015,Party_15,1015,,1015,EUR,2026-06-07,2026-06-07,Uncleared / In-Transit Payment,MISSING_IN_BANK,NO_MATCH,49,7,6+ Days,RULE_AMT_REF,Y
NTRY-16,TX-2026-0016,TX-2026-0016,PMT-REF-20016,INV-2026-8016,Party_16,1016,1016.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,94,0,0-2 Days,RULE_ID_MATCH,N
NTRY-17,TX-2026-0017,TX-2026-0017,PMT-REF-20017,INV-2026-8017,Party_17,1017,1017.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,93,5,3-5 Days,RULE_ID_MATCH,N
NTRY-18,TX-2026-0018,TX-2026-0018,PMT-REF-20018,INV-2026-8018,Party_18,1018,1018.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,92,2,0-2 Days,RULE_ID_MATCH,N
NTRY-19,TX-2026-0019,TX-2026-0019,PMT-REF-20019,INV-2026-8019,Party_19,1019,1019.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,100,3,3-5 Days,RULE_ID_MATCH,N
NTRY-20,TX-2026-0020,TX-2026-0020,PMT-REF-20020,INV-2026-8020,Party_20,1020,1020.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,91,2,0-2 Days,RULE_ID_MATCH,N
NTRY-21,TX-2026-0021,TX-2026-0021,PMT-REF-20021,INV-2026-8021,Party_21,1021,1021.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,91,0,0-2 Days,RULE_ID_MATCH,N
NTRY-22,TX-2026-0022,TX-2026-0022,PMT-REF-20022,INV-2026-8022,Party_22,1022,1022.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,99,1,0-2 Days,RULE_ID_MATCH,N
NTRY-23,TX-2026-0023,TX-2026-0023,PMT-REF-20023,INV-2026-8023,Party_23,1023,1023.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,99,6,6+ Days,RULE_ID_MATCH,N
NTRY-24,TX-2026-0024,TX-2026-0024,PMT-REF-20024,INV-2026-8024,Party_24,1024,1024.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,93,5,3-5 Days,RULE_ID_MATCH,N
NTRY-25,TX-2026-0025,TX-2026-0025,PMT-REF-20025,INV-2026-8025,Party_25,1025,1025.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,97,7,6+ Days,RULE_ID_MATCH,N
NTRY-26,TX-2026-0026,TX-2026-0026,PMT-REF-20026,INV-2026-8026,Party_26,1026,1026.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,93,5,3-5 Days,RULE_ID_MATCH,N
NTRY-27,TX-2026-0027,TX-2026-0027,PMT-REF-20027,INV-2026-8027,Party_27,1027,1027.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,99,6,6+ Days,RULE_ID_MATCH,N
NTRY-28,TX-2026-0028,TX-2026-0028,PMT-REF-20028,INV-2026-8028,Party_28,1028,1028.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,99,3,3-5 Days,RULE_ID_MATCH,N
NTRY-29,TX-2026-0029,TX-2026-0029,PMT-REF-20029,INV-2026-8029,Party_29,1029,1029.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,96,5,3-5 Days,RULE_ID_MATCH,N
NTRY-30,TX-2026-0030,TX-2026-0030,PMT-REF-20030,INV-2026-8030,Party_30,1030,1030.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,91,10,6+ Days,RULE_ID_MATCH,N
NTRY-31,TX-2026-0031,TX-2026-0031,PMT-REF-20031,INV-2026-8031,Party_31,1031,1031.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,90,7,6+ Days,RULE_ID_MATCH,N
NTRY-32,TX-2026-0032,TX-2026-0032,PMT-REF-20032,INV-2026-8032,Party_32,1032,1032.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,94,6,6+ Days,RULE_ID_MATCH,N
NTRY-33,TX-2026-0033,TX-2026-0033,PMT-REF-20033,INV-2026-8033,Party_33,1033,1033.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,93,9,6+ Days,RULE_ID_MATCH,N
NTRY-34,TX-2026-0034,TX-2026-0034,PMT-REF-20034,INV-2026-8034,Party_34,1034,1034.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,94,3,3-5 Days,RULE_ID_MATCH,N
NTRY-35,TX-2026-0035,,PMT-REF-20035,INV-2026-8035,Party_35,1035,,1035,EUR,2026-06-07,2026-06-07,Uncleared / In-Transit Payment,MISSING_IN_BANK,NO_MATCH,17,6,6+ Days,RULE_AMT_REF,Y
NTRY-36,TX-2026-0036,TX-2026-0036,PMT-REF-20036,INV-2026-8036,Party_36,1036,1036.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,97,3,3-5 Days,RULE_ID_MATCH,N
NTRY-37,TX-2026-0037,TX-2026-0037,PMT-REF-20037,INV-2026-8037,Party_37,1037,1037.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,97,9,6+ Days,RULE_ID_MATCH,N
NTRY-38,TX-2026-0038,,PMT-REF-20038,INV-2026-8038,Party_38,1038,,1038,EUR,2026-06-07,2026-06-07,Uncleared / In-Transit Payment,MISSING_IN_BANK,NO_MATCH,1,9,6+ Days,RULE_AMT_REF,Y
NTRY-39,TX-2026-0039,TX-2026-0039,PMT-REF-20039,INV-2026-8039,Party_39,1039,1058.0,-19,EUR,2026-06-07,2026-06-07,Partially Matched (Manual Review),AMOUNT_MISMATCH,PARTIAL,84,2,0-2 Days,RULE_AMT_REF,Y
NTRY-40,TX-2026-0040,TX-2026-0040,PMT-REF-20040,INV-2026-8040,Party_40,1040,1040.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,96,6,6+ Days,RULE_ID_MATCH,N
NTRY-41,TX-2026-0041,TX-2026-0041,PMT-REF-20041,INV-2026-8041,Party_41,1041,1041.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,94,5,3-5 Days,RULE_ID_MATCH,N
NTRY-42,TX-2026-0042,TX-2026-0042,PMT-REF-20042,INV-2026-8042,Party_42,1042,1042.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,90,4,3-5 Days,RULE_ID_MATCH,N
NTRY-43,TX-2026-0043,TX-2026-0043,PMT-REF-20043,INV-2026-8043,Party_43,1043,1043.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,99,4,3-5 Days,RULE_ID_MATCH,N
NTRY-44,TX-2026-0044,,PMT-REF-20044,INV-2026-8044,Party_44,1044,,1044,EUR,2026-06-07,2026-06-07,Uncleared / In-Transit Payment,MISSING_IN_BANK,NO_MATCH,19,0,0-2 Days,RULE_AMT_REF,Y
NTRY-45,TX-2026-0045,TX-2026-0045,PMT-REF-20045,INV-2026-8045,Party_45,1045,1045.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,96,4,3-5 Days,RULE_ID_MATCH,N
NTRY-46,TX-2026-0046,TX-2026-0046,PMT-REF-20046,INV-2026-8046,Party_46,1046,1066.0,-20,EUR,2026-06-07,2026-06-07,Partially Matched (Manual Review),AMOUNT_MISMATCH,PARTIAL,72,5,3-5 Days,RULE_AMT_REF,Y
NTRY-47,TX-2026-0047,TX-2026-0047,PMT-REF-20047,INV-2026-8047,Party_47,1047,1047.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,93,3,3-5 Days,RULE_ID_MATCH,N
NTRY-48,TX-2026-0048,TX-2026-0048,PMT-REF-20048,INV-2026-8048,Party_48,1048,1048.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,95,7,6+ Days,RULE_ID_MATCH,N
NTRY-49,TX-2026-0049,TX-2026-0049,PMT-REF-20049,INV-2026-8049,Party_49,1049,1049.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,99,6,6+ Days,RULE_ID_MATCH,N
NTRY-50,TX-2026-0050,TX-2026-0050,PMT-REF-20050,INV-2026-8050,Party_50,1050,1070.0,-20,EUR,2026-06-07,2026-06-07,Partially Matched (Manual Review),AMOUNT_MISMATCH,PARTIAL,70,7,6+ Days,RULE_AMT_REF,Y
NTRY-51,TX-2026-0051,,PMT-REF-20051,INV-2026-8051,Party_51,1051,,1051,EUR,2026-06-07,2026-06-07,Uncleared / In-Transit Payment,MISSING_IN_BANK,NO_MATCH,10,8,6+ Days,RULE_AMT_REF,Y
NTRY-52,TX-2026-0052,TX-2026-0052,PMT-REF-20052,INV-2026-8052,Party_52,1052,1057.0,-5,EUR,2026-06-07,2026-06-07,Partially Matched (Manual Review),AMOUNT_MISMATCH,PARTIAL,81,4,3-5 Days,RULE_AMT_REF,Y
NTRY-53,TX-2026-0053,TX-2026-0053,PMT-REF-20053,INV-2026-8053,Party_53,1053,1053.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,93,0,0-2 Days,RULE_ID_MATCH,N
NTRY-54,TX-2026-0054,TX-2026-0054,PMT-REF-20054,INV-2026-8054,Party_54,1054,1054.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,94,5,3-5 Days,RULE_ID_MATCH,N
NTRY-55,TX-2026-0055,TX-2026-0055,PMT-REF-20055,INV-2026-8055,Party_55,1055,1079.0,-24,EUR,2026-06-07,2026-06-07,Partially Matched (Manual Review),AMOUNT_MISMATCH,PARTIAL,85,6,6+ Days,RULE_AMT_REF,Y
NTRY-56,TX-2026-0056,TX-2026-0056,PMT-REF-20056,INV-2026-8056,Party_56,1056,1056.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,100,7,6+ Days,RULE_ID_MATCH,N
NTRY-57,TX-2026-0057,TX-2026-0057,PMT-REF-20057,INV-2026-8057,Party_57,1057,1057.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,100,7,6+ Days,RULE_ID_MATCH,N
NTRY-58,TX-2026-0058,TX-2026-0058,PMT-REF-20058,INV-2026-8058,Party_58,1058,1058.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,96,4,3-5 Days,RULE_ID_MATCH,N
NTRY-59,TX-2026-0059,TX-2026-0059,PMT-REF-20059,INV-2026-8059,Party_59,1059,1065.0,-6,EUR,2026-06-07,2026-06-07,Partially Matched (Manual Review),AMOUNT_MISMATCH,PARTIAL,72,8,6+ Days,RULE_AMT_REF,Y
NTRY-60,TX-2026-0060,TX-2026-0060,PMT-REF-20060,INV-2026-8060,Party_60,1060,1060.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,91,6,6+ Days,RULE_ID_MATCH,N
NTRY-61,TX-2026-0061,TX-2026-0061,PMT-REF-20061,INV-2026-8061,Party_61,1061,1061.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,97,5,3-5 Days,RULE_ID_MATCH,N
NTRY-62,TX-2026-0062,TX-2026-0062,PMT-REF-20062,INV-2026-8062,Party_62,1062,1081.0,-19,EUR,2026-06-07,2026-06-07,Partially Matched (Manual Review),AMOUNT_MISMATCH,PARTIAL,83,9,6+ Days,RULE_AMT_REF,Y
NTRY-63,TX-2026-0063,TX-2026-0063,PMT-REF-20063,INV-2026-8063,Party_63,1063,1063.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,95,5,3-5 Days,RULE_ID_MATCH,N
NTRY-64,TX-2026-0064,TX-2026-0064,PMT-REF-20064,INV-2026-8064,Party_64,1064,1064.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,96,2,0-2 Days,RULE_ID_MATCH,N
NTRY-65,TX-2026-0065,TX-2026-0065,PMT-REF-20065,INV-2026-8065,Party_65,1065,1065.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,97,1,0-2 Days,RULE_ID_MATCH,N
NTRY-66,TX-2026-0066,,PMT-REF-20066,INV-2026-8066,Party_66,1066,,1066,EUR,2026-06-07,2026-06-07,Uncleared / In-Transit Payment,MISSING_IN_BANK,NO_MATCH,29,3,3-5 Days,RULE_AMT_REF,Y
NTRY-67,TX-2026-0067,TX-2026-0067,PMT-REF-20067,INV-2026-8067,Party_67,1067,1075.0,-8,EUR,2026-06-07,2026-06-07,Partially Matched (Manual Review),AMOUNT_MISMATCH,PARTIAL,70,6,6+ Days,RULE_AMT_REF,Y
NTRY-68,TX-2026-0068,TX-2026-0068,PMT-REF-20068,INV-2026-8068,Party_68,1068,1100.0,-32,EUR,2026-06-07,2026-06-07,Partially Matched (Manual Review),AMOUNT_MISMATCH,PARTIAL,79,3,3-5 Days,RULE_AMT_REF,Y
NTRY-69,TX-2026-0069,TX-2026-0069,PMT-REF-20069,INV-2026-8069,Party_69,1069,1072.0,-3,EUR,2026-06-07,2026-06-07,Partially Matched (Manual Review),AMOUNT_MISMATCH,PARTIAL,66,10,6+ Days,RULE_AMT_REF,Y
NTRY-70,TX-2026-0070,TX-2026-0070,PMT-REF-20070,INV-2026-8070,Party_70,1070,1099.0,-29,EUR,2026-06-07,2026-06-07,Partially Matched (Manual Review),AMOUNT_MISMATCH,PARTIAL,81,9,6+ Days,RULE_AMT_REF,Y
NTRY-71,TX-2026-0071,TX-2026-0071,PMT-REF-20071,INV-2026-8071,Party_71,1071,1071.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,91,2,0-2 Days,RULE_ID_MATCH,N
NTRY-72,TX-2026-0072,TX-2026-0072,PMT-REF-20072,INV-2026-8072,Party_72,1072,1072.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,99,3,3-5 Days,RULE_ID_MATCH,N
NTRY-73,TX-2026-0073,TX-2026-0073,PMT-REF-20073,INV-2026-8073,Party_73,1073,1073.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,95,9,6+ Days,RULE_ID_MATCH,N
NTRY-74,TX-2026-0074,TX-2026-0074,PMT-REF-20074,INV-2026-8074,Party_74,1074,1074.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,99,4,3-5 Days,RULE_ID_MATCH,N
NTRY-75,TX-2026-0075,TX-2026-0075,PMT-REF-20075,INV-2026-8075,Party_75,1075,1075.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,91,10,6+ Days,RULE_ID_MATCH,N
NTRY-76,TX-2026-0076,TX-2026-0076,PMT-REF-20076,INV-2026-8076,Party_76,1076,1076.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,99,5,3-5 Days,RULE_ID_MATCH,N
NTRY-77,TX-2026-0077,,PMT-REF-20077,INV-2026-8077,Party_77,1077,,1077,EUR,2026-06-07,2026-06-07,Uncleared / In-Transit Payment,MISSING_IN_BANK,NO_MATCH,26,2,0-2 Days,RULE_AMT_REF,Y
NTRY-78,TX-2026-0078,TX-2026-0078,PMT-REF-20078,INV-2026-8078,Party_78,1078,1078.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,93,2,0-2 Days,RULE_ID_MATCH,N
NTRY-79,TX-2026-0079,TX-2026-0079,PMT-REF-20079,INV-2026-8079,Party_79,1079,1089.0,-10,EUR,2026-06-07,2026-06-07,Partially Matched (Manual Review),AMOUNT_MISMATCH,PARTIAL,77,4,3-5 Days,RULE_AMT_REF,Y
NTRY-80,TX-2026-0080,TX-2026-0080,PMT-REF-20080,INV-2026-8080,Party_80,1080,1080.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,95,8,6+ Days,RULE_ID_MATCH,N
NTRY-81,TX-2026-0081,TX-2026-0081,PMT-REF-20081,INV-2026-8081,Party_81,1081,1112.0,-31,EUR,2026-06-07,2026-06-07,Partially Matched (Manual Review),AMOUNT_MISMATCH,PARTIAL,74,9,6+ Days,RULE_AMT_REF,Y
NTRY-82,TX-2026-0082,TX-2026-0082,PMT-REF-20082,INV-2026-8082,Party_82,1082,1082.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,91,8,6+ Days,RULE_ID_MATCH,N
NTRY-83,TX-2026-0083,TX-2026-0083,PMT-REF-20083,INV-2026-8083,Party_83,1083,1083.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,99,10,6+ Days,RULE_ID_MATCH,N
NTRY-84,TX-2026-0084,TX-2026-0084,PMT-REF-20084,INV-2026-8084,Party_84,1084,1084.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,100,2,0-2 Days,RULE_ID_MATCH,N
NTRY-85,TX-2026-0085,TX-2026-0085,PMT-REF-20085,INV-2026-8085,Party_85,1085,1085.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,97,10,6+ Days,RULE_ID_MATCH,N
NTRY-86,TX-2026-0086,TX-2026-0086,PMT-REF-20086,INV-2026-8086,Party_86,1086,1086.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,95,6,6+ Days,RULE_ID_MATCH,N
NTRY-87,TX-2026-0087,TX-2026-0087,PMT-REF-20087,INV-2026-8087,Party_87,1087,1087.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,98,0,0-2 Days,RULE_ID_MATCH,N
NTRY-88,TX-2026-0088,TX-2026-0088,PMT-REF-20088,INV-2026-8088,Party_88,1088,1088.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,94,4,3-5 Days,RULE_ID_MATCH,N
NTRY-89,TX-2026-0089,TX-2026-0089,PMT-REF-20089,INV-2026-8089,Party_89,1089,1089.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,93,5,3-5 Days,RULE_ID_MATCH,N
NTRY-90,TX-2026-0090,TX-2026-0090,PMT-REF-20090,INV-2026-8090,Party_90,1090,1090.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,91,1,0-2 Days,RULE_ID_MATCH,N
NTRY-91,TX-2026-0091,TX-2026-0091,PMT-REF-20091,INV-2026-8091,Party_91,1091,1105.0,-14,EUR,2026-06-07,2026-06-07,Partially Matched (Manual Review),AMOUNT_MISMATCH,PARTIAL,80,5,3-5 Days,RULE_AMT_REF,Y
NTRY-92,TX-2026-0092,TX-2026-0092,PMT-REF-20092,INV-2026-8092,Party_92,1092,1111.0,-19,EUR,2026-06-07,2026-06-07,Partially Matched (Manual Review),AMOUNT_MISMATCH,PARTIAL,75,10,6+ Days,RULE_AMT_REF,Y
NTRY-93,TX-2026-0093,TX-2026-0093,PMT-REF-20093,INV-2026-8093,Party_93,1093,1093.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,92,5,3-5 Days,RULE_ID_MATCH,N
NTRY-94,TX-2026-0094,TX-2026-0094,PMT-REF-20094,INV-2026-8094,Party_94,1094,1094.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,98,6,6+ Days,RULE_ID_MATCH,N
NTRY-95,TX-2026-0095,TX-2026-0095,PMT-REF-20095,INV-2026-8095,Party_95,1095,1095.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,96,0,0-2 Days,RULE_ID_MATCH,N
NTRY-96,TX-2026-0096,TX-2026-0096,PMT-REF-20096,INV-2026-8096,Party_96,1096,1108.0,-12,EUR,2026-06-07,2026-06-07,Partially Matched (Manual Review),AMOUNT_MISMATCH,PARTIAL,72,2,0-2 Days,RULE_AMT_REF,Y
NTRY-97,TX-2026-0097,TX-2026-0097,PMT-REF-20097,INV-2026-8097,Party_97,1097,1097.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,100,0,0-2 Days,RULE_ID_MATCH,N
NTRY-98,TX-2026-0098,TX-2026-0098,PMT-REF-20098,INV-2026-8098,Party_98,1098,1098.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,98,4,3-5 Days,RULE_ID_MATCH,N
NTRY-99,TX-2026-0099,TX-2026-0099,PMT-REF-20099,INV-2026-8099,Party_99,1099,1099.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,92,1,0-2 Days,RULE_ID_MATCH,N
NTRY-100,TX-2026-0100,TX-2026-0100,PMT-REF-20100,INV-2026-8100,Party_100,1100,1100.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,95,4,3-5 Days,RULE_ID_MATCH,N
NTRY-101,TX-2026-0101,TX-2026-0101,PMT-REF-20101,INV-2026-8101,Party_101,1101,1101.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,94,1,0-2 Days,RULE_ID_MATCH,N
NTRY-102,TX-2026-0102,TX-2026-0102,PMT-REF-20102,INV-2026-8102,Party_102,1102,1103.0,-1,EUR,2026-06-07,2026-06-07,Partially Matched (Manual Review),AMOUNT_MISMATCH,PARTIAL,79,6,6+ Days,RULE_AMT_REF,Y
